year,region,asthma_2000_pop,asthma_2000_pop_urban,asthma_2000_pop_non_urban,asthma_2000_exp,asthma_2000_exp_urban,asthma_2000_exp_non_urban,asthma_2000_rate,asthma_2000_rate_urban,asthma_2000_rate_non_urban
2000,5,245428.38,135056.28,0.008046397,245428.38,135056.28,0.008046397,245428.38,135056.28,0.008046397
2000,9,99962.02,76184.164,0.004464266,99962.02,76184.164,0.004464266,99962.02,76184.164,0.004464266
2000,21,118.897484,42.703415,0.00012290536,118.897484,42.703415,0.00012290536,118.897484,42.703415,0.00012290536
2000,32,15646.118,6880.993,0.00087271,15646.118,6880.993,0.00087271,15646.118,6880.993,0.00087271
2000,42,40543.008,16114.438,0.012277671,40543.008,16114.438,0.012277671,40543.008,16114.438,0.012277671
2000,56,66417.49,42031.992,0.0005697028,66417.49,42031.992,0.0005697028,66417.49,42031.992,0.0005697028
2000,65,63751.312,55086.863,0.013240511,63751.312,55086.863,0.013240511,63751.312,55086.863,0.013240511
2000,70,10757.613,8141.943,0.00025105686,10757.613,8141.943,0.00025105686,10757.613,8141.943,0.00025105686
2000,73,138692.61,82018.055,0.004830751,138692.61,82018.055,0.004830751,138692.61,82018.055,0.004830751
2000,96,29858.607,22580.629,0.0013553969,29858.607,22580.629,0.0013553969,29858.607,22580.629,0.0013553969
2000,100,444510.47,296943.7,0.003937758,444510.47,296943.7,0.003937758,444510.47,296943.7,0.003937758
2000,104,18224.244,12872.82,0.0074314815,18224.244,12872.82,0.0074314815,18224.244,12872.82,0.0074314815
2000,120,40144.973,30289.871,0.0031287062,40144.973,30289.871,0.0031287062,40144.973,30289.871,0.0031287062
2000,124,114299.15,90670.65,0.004324284,114299.15,90670.65,0.004324284,114299.15,90670.65,0.004324284
2000,134,157381.94,122230.29,0.0032949394,157381.94,122230.29,0.0032949394,157381.94,122230.29,0.0032949394
2000,138,183556.75,111839.79,0.0038978376,183556.75,111839.79,0.0038978376,183556.75,111839.79,0.0038978376
2000,159,84695.414,49972.7,0.0064192056,84695.414,49972.7,0.0064192056,84695.414,49972.7,0.0064192056
2000,167,2835.0403,2240.1768,0.00010455944,2835.0403,2240.1768,0.00010455944,2835.0403,2240.1768,0.00010455944
2000,174,21308.074,11608.041,0.0012352129,21308.074,11608.041,0.0012352129,21308.074,11608.041,0.0012352129
2000,192,13188.23,8914.188,0.001087147,13188.23,8914.188,0.001087147,13188.23,8914.188,0.001087147
2000,199,38960.938,26368.562,0.0013431526,38960.938,26368.562,0.0013431526,38960.938,26368.562,0.0013431526
2005,5,203832.72,118782.516,0.0062006656,189306.39,106454.87,0.0060400637,222315.33,131396.12,0.006628555
2005,9,115925.69,87689.23,0.0053045833,100824.46,78441.45,0.00420238,114140.37,87952.05,0.0049198223
2005,21,185.28865,43.850533,0.00022838639,123.4157,44.623066,0.000127097,212.87286,49.51159,0.0002637867
2005,32,14250.591,6248.664,0.00079673197,14520.383,6210.7007,0.0008273624,13742.599,5859.325,0.00078491896
2005,42,31073.43,12969.3545,0.009099014,35965.34,14276.455,0.010900727,26863.883,11135.447,0.007905027
2005,56,55912.215,36771.844,0.00044716606,53325.766,34089.996,0.00044939283,53439.33,35734.402,0.00041363077
2005,65,83806.0,70984.664,0.019592833,55163.008,47840.445,0.011189938,85725.68,72609.04,0.020044096
2005,70,8093.6523,6265.967,0.00017542386,8216.335,6228.32,0.00019081308,9470.275,7357.89,0.00020274996
2005,73,138115.62,82049.734,0.004785015,140369.61,83236.25,0.004869842,134475.64,81171.08,0.004549343
2005,96,27472.236,21066.049,0.0011935075,30883.69,23315.672,0.0014094164,26719.652,20471.896,0.0011639915
2005,100,436711.75,301396.47,0.0036113854,460036.4,307083.06,0.0040814886,420917.75,290132.03,0.0034905013
2005,104,18028.969,12854.859,0.007185249,17985.357,12879.241,0.0070908275,17861.596,12841.639,0.0069711893
2005,120,25079.084,18909.68,0.0019586051,35804.312,26941.29,0.0028137555,29207.947,22038.441,0.0022761093
2005,124,98569.19,77279.45,0.0038966583,108502.555,85736.0,0.004166526,107380.91,83538.08,0.0043639946
2005,134,147752.9,114923.4,0.003077278,146635.42,114383.586,0.0030231336,153509.27,119942.99,0.0031463313
2005,138,162261.08,102425.17,0.003252101,174907.12,107939.02,0.0036397488,161748.52,104929.05,0.0030881616
2005,159,78864.74,44889.81,0.0062813046,86451.88,51178.934,0.0065209344,82628.86,47408.574,0.0065115583
2005,167,2331.7249,1703.943,0.00011034557,3662.596,3066.018,0.00010486075,3049.8853,2372.1428,0.000119127224
2005,174,22670.6,11808.291,0.001383219,24091.693,13692.793,0.0013242061,26596.766,14537.33,0.0015356605
2005,192,9289.96,6162.3306,0.0007955462,7214.2705,4840.8306,0.0006037101,17767.29,12334.392,0.0013819168
2005,199,44320.664,29042.285,0.0016296535,48205.453,33022.39,0.00161949,51005.457,33834.473,0.0018315291
2010,5,271820.34,148218.72,0.009011961,195043.19,109682.73,0.0062229712,275061.25,153362.97,0.008873184
2010,9,117136.69,87153.87,0.005631521,100586.38,80000.97,0.0038648716,114464.125,86626.35,0.0052286335
2010,21,159.15,42.72116,0.00018784992,121.298904,44.4553,0.0001239531,216.54568,55.948147,0.0002591132
2010,32,15896.346,7128.4365,0.0008731083,14877.526,6454.0107,0.0008386966,14785.435,6488.366,0.00082622253
2010,42,31466.979,13051.799,0.009255372,34607.746,13784.588,0.010465612,24645.643,10245.595,0.0072373874
2010,56,48471.41,31352.19,0.00039994647,47982.27,30782.727,0.00040182256,48185.58,31960.787,0.0003790499
2010,65,71147.55,60962.29,0.015564507,47180.137,40852.023,0.0096702725,74695.41,63588.64,0.016972752
2010,70,6778.5464,5146.373,0.00015665879,7209.0747,5482.2285,0.0001657455,8837.967,6740.29,0.00020133854
2010,73,116680.945,69473.82,0.0040327106,138904.75,82144.87,0.0048380243,117303.57,72495.61,0.0038277586
2010,96,33739.805,25514.273,0.0015329425,33591.74,25216.29,0.0015597928,31169.875,23488.89,0.0014314478
2010,100,386677.88,270529.9,0.0031002208,593939.75,395269.62,0.0053014094,307161.2,214690.38,0.002468238
2010,104,16772.092,12014.865,0.006606322,17410.914,12586.766,0.0066992645,16407.885,12010.549,0.006106545
2010,120,33601.6,24877.518,0.002772813,36227.844,27196.037,0.0028673396,41441.934,30911.07,0.003347074
2010,124,110026.05,86895.81,0.0042410223,116801.88,92221.36,0.004498522,111270.88,86427.47,0.004555145
2010,134,153816.03,119187.61,0.0032459009,136170.06,106334.06,0.0027966767,152999.16,119233.984,0.0031649768
2010,138,187974.25,117960.76,0.003805243,180310.62,112521.81,0.0036843524,191662.19,124649.28,0.0036421795
2010,159,185169.44,101482.47,0.015477917,159373.5,90705.83,0.0126946615,108200.234,61720.316,0.008596461
2010,167,2867.8943,2143.561,0.00012731679,5025.738,4333.228,0.00012172273,6145.393,5108.3613,0.00018227966
2010,174,23953.477,12546.625,0.0014525568,27191.568,15700.555,0.001463281,33254.777,18658.008,0.0018587664
2010,192,7459.1323,4751.9487,0.00068860064,5970.503,3998.9836,0.0005014765,18881.74,13045.054,0.0014846239
2010,199,40729.516,26971.031,0.0014675368,53830.555,36876.58,0.0018083826,57206.844,38506.133,0.0019946941
2011,5,302762.7,161581.42,0.010294193,199790.72,112663.05,0.0063518067,297582.44,163400.75,0.009783848
2011,9,117447.04,88076.164,0.0055144806,100354.164,80017.22,0.0038182351,115187.49,88164.71,0.005073612
2011,21,128.87804,44.166916,0.00013664382,128.19281,45.788425,0.00013292294,182.85228,60.156,0.00019791609
2011,32,15858.616,7072.1553,0.0008748796,15623.367,6739.534,0.0008845288,15397.294,6672.665,0.00086872175
2011,42,33542.39,13780.058,0.009932455,34445.215,13743.262,0.010404696,26347.756,10856.192,0.007785984
2011,56,47144.633,30379.64,0.00039176096,48103.992,31081.246,0.00039769296,47436.688,31567.094,0.000370836
2011,65,72863.51,62087.684,0.01646701,47350.062,41024.72,0.0096660415,74768.09,63447.727,0.017299147
2011,70,6507.996,4972.5947,0.00014737055,7221.212,5492.212,0.0001659519,8572.433,6581.9766,0.00019104722
2011,73,118602.86,70105.85,0.005814868,139706.7,82868.55,0.0048446907,119419.586,73404.95,0.0055172257
2011,96,34353.45,26014.719,0.0015530773,33758.594,25119.277,0.001608923,31644.016,23642.395,0.001490291
2011,100,384148.3,267656.72,0.0031135383,604191.7,401923.16,0.0053974367,302520.34,210749.66,0.0024528045
2011,104,16441.3,11867.042,0.006352239,17378.467,12547.791,0.0067083277,16350.911,12049.799,0.005972918
2011,120,34638.45,25974.828,0.0027504521,36296.516,27128.47,0.0029105928,42951.207,32267.348,0.0033918123
2011,124,113934.36,90928.59,0.0042103194,118078.12,92968.234,0.004595388,114106.87,89272.95,0.0045448877
2011,134,150853.61,117031.69,0.0031702912,133487.4,104222.53,0.002743148,150314.48,117296.85,0.0030949092
2011,138,189412.47,118487.41,0.003854787,182847.75,113501.23,0.0037690124,195106.6,125656.25,0.0037746616
2011,159,189996.62,105121.97,0.015697012,155889.36,88767.18,0.012408937,115900.37,66654.77,0.009107635
2011,167,2811.2434,2143.1665,0.0001174283,5358.022,4660.149,0.00012266553,6747.6006,5719.567,0.00018069836
2011,174,23880.686,12739.744,0.0014186956,27604.59,16103.412,0.0014645726,34014.19,19580.496,0.0018380033
2011,192,7533.732,4817.0864,0.00069100776,6470.784,4365.5996,0.00053547614,18111.426,12561.608,0.0014116574
2011,199,41062.098,27562.328,0.0014399432,55156.414,37863.625,0.001844522,59406.527,40601.562,0.002005815
2012,5,294094.47,156336.17,0.01004292,207438.81,117163.36,0.006581304,283739.12,155947.19,0.0093163
2012,9,116329.5,85774.12,0.0057406165,101321.71,80897.71,0.003834585,115788.2,87515.71,0.005311692
2012,21,150.81407,41.37273,0.00017661713,129.39871,45.663166,0.00013507018,225.04982,57.231606,0.00027082607
2012,32,16591.842,7235.63,0.0009315716,15380.204,6875.103,0.0008468192,15826.375,6958.004,0.00088299846
2012,42,31202.84,12622.763,0.009338248,34613.465,13967.549,0.010376542,25048.213,10278.932,0.0074229646
2012,56,46212.613,29332.58,0.0003943575,48157.83,31236.012,0.00039533374,47036.246,30959.418,0.00037559363
2012,65,68083.6,57805.805,0.015705964,48593.184,42480.938,0.009340399,70034.87,59789.133,0.015656948
2012,70,5775.813,4356.0225,0.00013627403,7198.277,5474.763,0.0001654256,7692.507,5836.24,0.00017816723
2012,73,114120.625,67215.945,0.0040043457,141610.86,84542.17,0.004864333,116490.24,71546.86,0.0038369026
2012,96,32989.8,24974.176,0.0014931252,35501.496,27227.365,0.0015409207,31680.45,24381.82,0.0013595715
2012,100,378358.06,260397.31,0.0031486766,612112.75,406695.2,0.0054814857,294949.28,202899.23,0.0024570408
2012,104,16048.432,11537.549,0.0062642284,17425.848,12623.49,0.006668997,16261.442,11968.164,0.0059620407
2012,120,33817.336,25272.053,0.002719062,38258.78,29341.09,0.0028311152,44256.66,33986.16,0.0032680181
2012,124,111061.25,87695.45,0.0042799353,122430.086,97258.68,0.004606662,112724.67,87983.28,0.004531906
2012,134,148304.83,114580.14,0.0031611875,129810.29,101305.58,0.0026718874,150403.17,116858.23,0.003144343
2012,138,191320.11,117872.3,0.003991917,191571.02,122652.75,0.0037457366,204437.78,133764.44,0.0038410993
2012,159,171845.94,93332.414,0.014514877,146552.44,83672.086,0.011624719,114754.14,64407.08,0.009307708
2012,167,2825.269,2144.2979,0.0001196949,5401.647,4735.1895,0.00011714377,7339.4233,6294.366,0.00018369028
2012,174,24749.215,13164.082,0.0014752642,28415.518,16543.25,0.0015118294,37161.152,21338.63,0.0020148521
2012,192,8401.486,5379.0537,0.0007687874,7588.145,5201.823,0.00060698704,17636.904,12169.309,0.0013907427
2012,199,43388.51,28753.238,0.001561056,56594.562,38738.293,0.0019046228,64426.645,43352.15,0.002247887
2013,5,286824.34,153070.81,0.0097509585,216756.45,122525.89,0.0068696192,269308.1,149072.92,0.008765436
2013,9,118503.95,86834.32,0.0059507517,101459.71,81106.17,0.0038213339,119070.45,89732.0,0.0055127293
2013,21,162.33612,39.68699,0.00019825449,129.55573,46.520447,0.00013394064,251.30052,56.38764,0.00031506413
2013,32,17148.328,7427.1973,0.0009679061,15841.965,7176.49,0.0008627878,16814.453,7452.0537,0.00093218696
2013,42,30026.072,12010.38,0.009054598,34146.39,13751.741,0.010250251,24218.7,9817.028,0.0072382023
2013,56,45822.645,28900.068,0.00039535263,48077.29,31274.002,0.00039256518,47015.93,30888.203,0.00037678366
2013,65,67028.45,56834.28,0.015578147,49251.78,43061.473,0.009459659,67166.81,57312.125,0.015059398
2013,70,5414.908,4049.3638,0.00013106692,7115.3438,5410.833,0.00016360146,7234.1987,5445.447,0.0001716874
2013,73,108184.77,63686.57,0.0038009323,142586.81,85495.555,0.004866266,110964.44,68193.07,0.0036534395
2013,96,32427.807,24488.705,0.0014792543,35890.67,27471.922,0.0015678525,31275.678,23954.275,0.001364162
2013,100,362670.66,248052.25,0.0030598373,617318.5,409848.6,0.0055362447,279861.84,191314.75,0.0023638413
2013,104,16052.535,11517.1045,0.00629832,17425.29,12636.64,0.0066499617,16565.814,12168.1,0.0061070654
2013,120,33638.598,24953.059,0.002766558,38647.773,29590.443,0.0028754459,44407.137,33789.59,0.0033819384
2013,124,109739.05,86241.7,0.004305409,124499.35,98775.5,0.00470775,109952.016,85176.3,0.0045396863
2013,134,145357.28,112081.05,0.0031191502,125762.9,98144.13,0.002588856,150565.38,116759.43,0.0031688027
2013,138,193558.27,118162.2,0.0040978226,197928.14,127641.05,0.0038201269,211705.16,138607.45,0.003972892
2013,159,152819.9,82341.984,0.0130310375,133804.03,77034.836,0.010494959,114594.61,63789.695,0.009393583
2013,167,2783.7366,2134.7124,0.00011407951,5952.796,5291.268,0.00011627685,8631.31,7592.2773,0.00018263154
2013,174,24894.055,13218.636,0.0014867607,28797.385,16882.41,0.0015172646,38677.746,22309.072,0.0020843989
2013,192,9926.016,6373.3955,0.0009036472,9120.675,6340.6865,0.0007071195,17872.77,12293.584,0.0014191247
